Team,Vote Points,Reason
20,3.0,"['เป็นเรื่องฝุ่นที่คิดว่ามีประโยชน์ต่อสังคม เพราะฝุ่นเป็นสิ่งที่ใกล้ตัว ช่วยให้สามารถรับรู้ข่าวเกี่ยวกับฝุ่นได้', nan]"
34,3.0,"[nan, 'มีการนำเสนอที่กระชับเข้าใจง่าย ไอเดียมีหัวข้อที่น่าสนใจในด้านจิตอาสา']"
41,3.0,"['ไอเดียน่าสนใจ ในการช่วยทางเกษตร', 'เนื้อหาแปลกใหม่มองเห็นถึงสิ่งใหม่ที่สร้างรายได้']"
7,3.0,"[nan, 'นำเสนอได้ดี สามารถอธิบายเนื้อหาต่างๆ ได้เข้าใจง่ายและมีสไลด์พรีเซ้นที่สวยงาม หัวข้อโปรเจคมีเนื้อหาที่ครอบคลุมปัญหาที่พบเจอได้']"
40,3.0,"['มีความน่าสนใจ หัวข้อดูเกี่ยวข้องกับในชีวิตประจำวัน', 'โปรเจคดูสามารถนำไปใช้งานได้จริง มีประโยชน์ในชีวิตประจำวัน นำเสนอได้น่าสนใจ']"
9,3.0,"[nan, 'มีการนำเสนอที่ดี เข้าใจง่าย']"
39,3.0,"['เป็นปัญหาที่น่าสนใจ เพราะสามารถลดงบประมาณในการซื้อยาของภาครัฐได้ ตัวแอปพลิเคชันมีความน่าสนใจ', nan]"
13,3.0,"['พิชชิ่งดี เนื้อหาน่าสนใจ', 'ชอบแนวคิดของกลุ่มนี้']"
14,3.0,"['ชอบหัวข้อที่นำเสนอ ตอบโจทย์ปัญหาที่พบเจอ ในเรื่องของสหกิจศึกษา', 'เป็นประโยชน์กับนักศึกษาที่กำลังจะไปฝึกสหกิจมาก ๆค่ะ']"
37,3.0,"['ชอบท่องเที่ยว อยากลองใช้เว็บค่ะ', 'น่ทจะต่อยอดได้หลายอย่าง ดูน่าสนใจ']"
42,3.0,"[nan, nan]"
28,3.0,"['เป็นเรื่องที่น่าสนใจและคิดว่าถ้าทำได้อาจเกิดประโยชน์อย่างมาก', 'รักเด็ก เพื่อนบอกอยากเข้าคุก']"
23,2.0,['เป็นเว็บแอพที่มีหัวข้อที่น่าสนใจ ดูมีประโยชน์สำหรับคนที่ต้องการความช่วยเหลือทางด้านกฎหมาย']
35,2.0,"['มีหัวข้อที่น่าสนที่ใจที่เกี่ยวกับสุขภาพจิตเเละอยากให้มันเป็นไปได้จริงจากการที่มีการใช้', 'เป็นระบบแชทบอทที่น่าสนใจมากๆเพราะถ้าทำสำเร็จจะช่วยให้ผู้คนเข้าใจในเรื่องของสุขกันมากขึ้น และที่สำคัญในส่วนของระบบที่เพื่อนได้มีการ demo ให้ดูค่อนข้างสวยดูน่าใช้งานมากๆ']"
16,2.0,"['ไอเดียดีเหมาะกับคนรักสัตว์ ยังไม่ค่อยได้เห็น Web application เเนวนี้สักเท่าไหร่', 'จากที่ฟังมาระบบมีหลายๆฟีเจอร์นั้นค่อนข้างที่จะน่าสนใจมากๆมีมูลค่าซ่อนอยู่ภานในแพลตฟอร์มเยอะ สามารถสร้างเป็นคอมมูนิตี้ออนไลน์ในด้านของสัตว์เลี้ยงและสามารถหากำไรจากแพลตฟอร์มได้จริง']"
17,2.0,"['ได้ความรู้เรื่องอสังหา และอธิบายดี', 'ได้ทราบปัญหา อธิบายดูดี']"
22,2.0,"['มีเหตุผลประกอบชัดเจนกับไอเดีย มีสถิติที่อ้างอิงได้ และหน้าตา ui/ux สวย', 'โรคซึมเศร้าเป็นปัญหาที่ทุกคนมีโอกาสเป็นได้ การจัดการหรือป้องกันปัญหาดังกล่าวเป็นเรื่องที่ดี และควรผลักดัน']"
1,2.0,"['ไอเดียเหมาะสำหรับคนไม่ค่อยกล้าทักใครก่อนในการหากลุ่ม ยังช่วยสร้างการพูดคุยได้ด้วย', 'ชอบไอเดียที่ทำขึ้นมาสำหรับคนที่ชวนคุยไม่เก่งหรือ introvert เวลาต้องการหาคู่หรือหากลุ่มค่ะ']"
33,2.0,"[nan, 'ชอบสุ่มสีเสื้อค่ะ เพราะว่าเชื่อเรื่องดวง5555']"
30,2.0,"[nan, 'มี Business model ที่น่าสนใจ']"
3,2.0,[]
29,2.0,[]
15,2.0,[nan]
21,2.0,['ความคิดสร้างสรรค์โดนใจค่ะ อยากได้คำด่าเวลาเล่นเกมเข้าใจความรู้สึกเลยค่ะ']
25,1.0,[]
2,1.0,[]
8,1.0,['ไอเดียดี รักษ์โลก และสามารถนำไปปรับใช้ต่อได้ในอนาคต']
11,1.0,[nan]
5,1.0,[]
32,1.0,['หัวข้อมีความน่าสนใจ']
27,1.0,['คิดว่าสามารถไปประยุกต์ใช้งานได้จริง']
12,1.0,['เป็นการนำเสนอแนวทางที่เข้าใจง่ายและใกล้ตัวสามารถประยุกต์ใช้จริงได้']
